label,chunk_level,retriever,top_k,patient_filter,status,n_questions,mrr_lenient,mrr_strict,ndcg_lenient,ndcg_strict,latency_p50_ms,latency_p95_ms,recall_lenient@1,recall_lenient@1_ci_lo,recall_lenient@1_ci_hi,recall_lenient@5,recall_lenient@5_ci_lo,recall_lenient@5_ci_hi,recall_lenient@10,recall_lenient@10_ci_lo,recall_lenient@10_ci_hi,recall_lenient@20,recall_lenient@20_ci_lo,recall_lenient@20_ci_hi,recall_strict@1,recall_strict@1_ci_lo,recall_strict@1_ci_hi,recall_strict@5,recall_strict@5_ci_lo,recall_strict@5_ci_hi,recall_strict@10,recall_strict@10_ci_lo,recall_strict@10_ci_hi,recall_strict@20,recall_strict@20_ci_lo,recall_strict@20_ci_hi,lenient_minus_strict@1,lenient_minus_strict@5,lenient_minus_strict@10,lenient_minus_strict@20,recall_lenient@3,recall_lenient@3_ci_lo,recall_lenient@3_ci_hi,recall_strict@3,recall_strict@3_ci_lo,recall_strict@3_ci_hi,lenient_minus_strict@3
chunk_level=full_note,full_note,bm25,5,False,ok,29,0.5926,0.3023,0.4674,0.3106,34.12,52.64,0.4828,0.3103,0.6552,0.7241,0.5517,0.8621,0.7931,0.6543,0.931,0.8621,0.7241,0.9655,0.2069,0.069,0.3793,0.4138,0.2414,0.6207,0.5517,0.3793,0.7241,0.6552,0.4828,0.8276,0.2759,0.3103,0.2414,0.2069,,,,,,,
chunk_level=section,section,bm25,5,False,ok,29,0.13,0.0852,0.1377,0.0803,130.74,175.98,0.069,0.0,0.1724,0.2069,0.069,0.3448,0.3103,0.1379,0.4828,0.4483,0.275,0.6207,0.0345,0.0,0.1034,0.1724,0.0345,0.3103,0.2759,0.1034,0.4483,0.4483,0.275,0.6207,0.0345,0.0345,0.0345,0.0,,,,,,,
chunk_level=patient_summary,patient_summary,bm25,5,False,ok,29,0.175,0.1578,0.0744,0.1737,4.97,7.12,0.069,0.0,0.1724,0.3103,0.1379,0.4828,0.3793,0.2069,0.5517,0.4483,0.2759,0.6207,0.069,0.0,0.1724,0.2759,0.1034,0.4483,0.3448,0.1724,0.5172,0.4483,0.2759,0.6207,0.0,0.0345,0.0345,0.0,,,,,,,
chunk_level=fixed_512 [BASELINE §4.1],fixed_512,bm25,5,False,ok,29,0.7682,0.5313,0.746,0.5683,12.33,17.82,0.6552,0.4828,0.8276,0.8966,0.7586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3793,0.2069,0.5517,0.7241,0.5517,0.8966,0.9655,0.8966,1.0,0.9655,0.8966,1.0,0.2759,0.1724,0.0345,0.0345,,,,,,,
chunk_level=structured,structured,bm25,5,False,ok,29,0.5567,0.4323,0.4314,0.4648,25.32,36.12,0.5172,0.3448,0.6897,0.5862,0.4138,0.7586,0.7241,0.5517,0.8621,0.7931,0.6552,0.931,0.3793,0.2069,0.5517,0.4828,0.3103,0.6552,0.5862,0.4138,0.7586,0.6897,0.5172,0.8621,0.1379,0.1034,0.1379,0.1034,,,,,,,
retriever=bm25+patient_filter,fixed_512,bm25,5,True,ok,29,0.8161,0.5804,0.8127,0.6125,12.2,15.91,0.7241,0.5517,0.8621,0.931,0.8276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4483,0.2759,0.6207,0.7931,0.6207,0.931,0.9655,0.8966,1.0,0.9655,0.8966,1.0,0.2759,0.1379,0.0345,0.0345,,,,,,,
top_k=1,fixed_512,bm25,1,False,ok,29,0.7682,0.5313,0.746,0.5683,11.37,14.92,0.6552,0.4828,0.8276,0.8966,0.7586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3793,0.2069,0.5517,0.7241,0.5517,0.8966,0.9655,0.8966,1.0,0.9655,0.8966,1.0,0.2759,0.1724,0.0345,0.0345,,,,,,,
top_k=3,fixed_512,bm25,3,False,ok,29,0.7682,0.5313,0.746,0.5683,11.25,16.45,0.6552,0.4828,0.8276,0.8966,0.7586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3793,0.2069,0.5517,0.7241,0.5517,0.8966,0.9655,0.8966,1.0,0.9655,0.8966,1.0,0.2759,0.1724,0.0345,0.0345,0.8276,0.6897,0.931,0.5862,0.4138,0.7586,0.2414
top_k=5,fixed_512,bm25,5,False,ok,29,0.7682,0.5313,0.746,0.5683,10.85,15.29,0.6552,0.4828,0.8276,0.8966,0.7586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3793,0.2069,0.5517,0.7241,0.5517,0.8966,0.9655,0.8966,1.0,0.9655,0.8966,1.0,0.2759,0.1724,0.0345,0.0345,,,,,,,
top_k=10,fixed_512,bm25,10,False,ok,29,0.7682,0.5313,0.746,0.5683,11.2,16.25,0.6552,0.4828,0.8276,0.8966,0.7586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3793,0.2069,0.5517,0.7241,0.5517,0.8966,0.9655,0.8966,1.0,0.9655,0.8966,1.0,0.2759,0.1724,0.0345,0.0345,,,,,,,
top_k=20,fixed_512,bm25,20,False,ok,29,0.7682,0.5313,0.746,0.5683,11.92,14.74,0.6552,0.4828,0.8276,0.8966,0.7586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3793,0.2069,0.5517,0.7241,0.5517,0.8966,0.9655,0.8966,1.0,0.9655,0.8966,1.0,0.2759,0.1724,0.0345,0.0345,,,,,,,
