k,recall_lenient,recall_strict
1,0.6552,0.3793
2,0.7931,0.4828
3,0.8276,0.5862
4,0.8966,0.6552
5,0.8966,0.7241
6,0.9655,0.8276
7,0.9655,0.8966
8,0.9655,0.8966
9,1.0,0.9655
10,1.0,0.9655
11,1.0,0.9655
12,1.0,0.9655
13,1.0,0.9655
14,1.0,0.9655
15,1.0,0.9655
16,1.0,0.9655
17,1.0,0.9655
18,1.0,0.9655
19,1.0,0.9655
20,1.0,0.9655
21,1.0,0.9655
22,1.0,0.9655
23,1.0,0.9655
24,1.0,0.9655
25,1.0,0.9655
26,1.0,0.9655
27,1.0,0.9655
28,1.0,0.9655
29,1.0,0.9655
30,1.0,0.9655
31,1.0,0.9655
32,1.0,0.9655
33,1.0,0.9655
34,1.0,0.9655
35,1.0,0.9655
36,1.0,0.9655
37,1.0,0.9655
38,1.0,0.9655
39,1.0,0.9655
40,1.0,0.9655
41,1.0,0.9655
42,1.0,0.9655
43,1.0,0.9655
44,1.0,0.9655
45,1.0,0.9655
46,1.0,0.9655
47,1.0,0.9655
48,1.0,0.9655
49,1.0,0.9655
50,1.0,0.9655
